group,signal,phase,lambda,lambda_025,lambda_500,lambda_975,N0,N0_025,N0_500,N0_975
passive,localization,main,1,0.845423429651055,1,1,6.88276995310764,6.55474355768233,6.7637958631379,7.99178107284091
passive,localization,reversal,0.433370487620616,0.116212596105193,0.133762147360524,0.521717927976751,NA,13.7618198972936,13.7618198972936,13.7618198972936
passive,slowprocess,main,0.0347558469943053,0.0296761551015233,0.0344959193430155,0.0369882443567551,25.1834054546881,23.3906253459072,25.1716939560404,26.507039117266
passive,slowprocess,reversal,0.0446631102331368,0.0376591929004728,0.04279970739741,0.0478515228526507,NA,50.3668109093762,50.3668109093762,50.3668109093762
passive,reaches,main,0.2702831968981,0.208411069750893,0.282988700054523,0.307516482817844,28.5633038452078,27.5738645638443,28.3992294725794,29.3230758769999
passive,reaches,reversal,0.125974855305708,0.109896029877964,0.120305879330602,0.145261361469628,NA,57.1266076904155,57.1266076904155,57.1266076904155
terminal,localization,main,0.435087522708348,0.0750453402360892,0.390757492606657,1,6.31831941224908,5.476156945539,6.84885862865917,8.17229930124389
terminal,localization,reversal,0.156880424219325,0.110883528243091,0.204159760256415,0.363704794824156,NA,12.6386590606996,12.6386590606996,12.6386590606996
terminal,slowprocess,main,0.0335308007672395,0.0313239673767793,0.0338928262920413,0.0342485687807147,25.3490447887107,25.2609543690047,25.6066878195491,25.9851124767295
terminal,slowprocess,reversal,0.0418469843825377,0.0343455757397438,0.0435153957703456,0.0458626331233173,NA,50.6980895774214,50.6980895774214,50.6980895774214
terminal,reaches,main,1,1,1,1,21.8880152471399,21.2003623766286,21.9295476666462,23.1930077883465
terminal,reaches,reversal,0.0365480454582893,0.032110648952941,0.0325945568920319,0.0343065220399645,NA,43.7760304942798,43.7760304942798,43.7760304942798
exposure,localization,main,0.6927653044532,1,1,1,5.18078312160618,4.8681109793232,5.24385450557347,5.96125768224678
exposure,localization,reversal,0.149831976473376,0.0775713099675655,0.138201652750212,0.229293644214297,NA,10.3466606947472,10.3466606947472,10.3466606947472
