lambda,N0
1,5.15953896602097
1,5.11623843580292
0.664988529595308,5.53957617335357
1,6.26049383303335
0.834773172293393,6.5207905189716
1,4.28831288787833
1,4.9676402908947
1,4.00114672403015
1,4.3513127906001
0.811158464948759,5.31224237131508
1,4.27769609679106
1,5.51367206992047
1,5.23200684770496
1,4.87940879461849
1,4.56258156732505
1,4.46537870622552
1,4.67390607994665
1,5.10972211704929
1,4.5311409040283
1,4.48349166014825
0.953874333949871,6.04090823043133
1,4.09190739185904
1,5.18061689608277
0.959681267101986,5.43019145913294
1,4.77723049856356
1,4.78110688710785
1,5.76049988947641
1,5.9559831265106
0.757900915427252,5.58157728358371
1,5.07847454118277
1,5.8369934016187
1,4.08230757728123
1,4.56835831256223
1,5.80390837310242
1,5.99412782462588
1,5.09841826501586
1,5.1968107335739
0.639640856664586,5.59075074502941
1,4.8765662362005
0.749972782438364,5.68261667929735
1,4.48470032962419
1,5.28596279547479
1,5.30690233917115
1,5.31246672932058
1,5.75397145232935
1,4.65663862275209
1,5.28767085511337
1,3.67687740689089
1,5.79729331357421
1,5.23533935088298
1,5.56228875726014
0.581224510746871,5.17411076644503
1,3.75237008342995
0.914128189642818,5.38438495685073
0.998376328172349,5.54563457846246
1,4.03367223703831
1,5.10928801586627
0.917565519370439,5.39277673200271
1,5.25468045968016
1,4.25275780284313
0.93739011297633,5.14786691407221
0.350600920758504,5.45047322614296
1,5.82431759518617
1,4.66951656580459
1,5.19647067293368
1,4.47251563891129
0.841009644929443,5.77312833066455
0.723330864761,5.67712907360513
1,4.70452964905856
0.733414666477439,5.30429153997372
1,5.55505363030278
1,5.27913333813966
0.935211466080801,6.1397077092822
1,5.78174255190512
1,4.53640658892967
1,4.98498052888231
1,4.62386611660683
1,5.07615301112115
1,5.0659345495385
0.424667120444968,5.81683095110284
1,3.31500375493163
1,4.01212906788747
0.830770698381285,6.35421958731828
0.380678207875374,6.97259803829778
0.537132350199692,5.54496680184151
1,5.38725162234578
1,4.25678225615034
1,5.24997604498649
0.741183849914663,5.1454157992576
0.923258675636131,5.48115845640993
1,4.50467686375651
1,5.74933535465718
1,5.96674389245068
1,5.60827957024506
1,4.73391789586024
1,5.78259595032975
1,4.55117040266183
1,4.90230858147362
1,5.26201944381186
0.936996442311285,6.54218673688698
