lambda,N0
0.761529475110225,6.6745034543411
0.975218505238156,7.23135211577352
0.904342893967906,7.7910804020994
0.975417102739137,6.37701616457099
0.924833821736517,7.56293502605577
0.983524259979632,6.42291750191121
1,6.43994394972278
0.414108829308007,7.66338438748872
0.727827848919601,6.67408843951931
1,6.54391254507183
0.716904776355544,8.02408050258246
0.98648270117116,6.63124173875543
1,7.54195095650944
0.809646465571475,7.39551968944961
0.402573986238149,6.85585021163371
1,6.32549344250712
0.965649396739819,6.30383515964657
0.971983261201222,7.31376891768171
0.975380152985604,6.65845161799614
0.956012957022908,6.16818714755851
0.902641530631566,6.82703257710654
0.782036742731162,6.82353782048128
0.775907562649511,8.467410144351
0.490400750498694,7.03343156289617
0.9625330400987,5.37933551416702
0.975216172354208,6.90801471547408
0.77775476508347,5.91911419339957
0.995573160629748,7.0526977346281
1,5.32314061961616
0.877878448064045,7.7874800592013
0.85751499757057,7.12634453294143
0.961221175415407,7.62417005108067
0.812247085236237,6.82605115074261
0.898829556462582,7.78907032935953
0.696720944682409,7.16565720484188
1,5.8336679081972
0.738540503458344,6.01312647998532
0.924188235328384,7.599120167149
0.920873937965044,6.78212161409413
1,7.55073066883932
0.33730072935058,7.1692935085209
0.909620733253877,6.23512733670803
0.956592803128726,6.44503231478143
0.928464789557585,5.74229507212828
0.601329976979644,6.5998127794162
0.950515225223396,7.05574719493432
0.937154450170794,6.74490212315753
1,6.426151244405
0.990792716241882,7.54367871811704
1,6.54317507723394
0.948116295907019,7.77131228229199
0.284091891201525,5.73865242494235
1,8.4035733267883
0.802007013934868,7.36707903469547
0.901558143459966,6.99539756193812
0.975426143443868,6.67265339919854
1,7.66262366414153
0.927352850491853,7.70431907739492
1,6.81420324513196
0.383669588006821,6.5242821626516
0.969957302722481,6.38533143568322
1,6.02544461403633
0.838643350634523,7.55224477445065
0.834225098176293,5.85638386872741
0.898186917283484,6.59948128578456
0.93156942561297,7.25445121892595
0.874457337395782,7.54952477078121
0.744436916933712,6.07039349647874
1,7.61984495594893
0.886759610477537,5.85878657083799
0.821830539061432,7.57771602801953
0.984737822383348,7.34996236216068
0.907389834529046,6.7069894695679
0.864517232541489,6.76008135608927
1,7.47797234228023
0.854220713936351,7.77909536093375
0.586322058028566,6.18103864224983
0.924090681563734,7.14251812620803
0.938110932653982,7.64861202420711
1,7.37522663291454
1,7.38417365110046
0.934144570733469,7.26763586360798
0.948470257920237,6.95175811973567
0.975338925538182,6.44389855182876
0.528243093751547,6.30058197405217
0.364049302812452,7.10271963634453
0.983710378748319,7.45574611518061
0.919212017367299,8.27931371874589
0.926149207209464,6.67778604318034
0.93026404529061,5.72699770123175
1,6.41059922826752
1,7.7157542572423
0.862484935669161,6.79602535015431
0.92141529839319,6.65490636244662
1,7.45114961418716
0.961811621630788,6.58563552256445
0.803252991400564,6.52142032496852
0.919329695632558,7.44681552606125
1,5.96663238715313
0.93558751228712,6.02078805135053
